ID	MEANING	COGIDS	DOCULECT	SOURCE_ORIGINAL	SOURCE_ORTHOGRAPHIC	TOKENS_SOURCE	TOKENS	TONES	PMX	PMXTonePattern	TONE_GROUP	COMMENT	SOURCE
4781	RICH	599	AlacatlatzalaMixtec	kuíká	kuíká	kʷ i ⁵ k a ⁵	kʷ i ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	zylstra2012gramatica
6434	RICH	599	ChalcatongoHidalgoMixtec	kúká	kúká	k u ⁵ k a ⁵	k u ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	macaulay1996grammar
3050	RICH	599	ElJicaralMixtec	kuíka	kuíka	kʷ i ⁵ k a ³	kʷ i ⁵ k a ³	⁵.³	kʷikaʔ	NA	A?	NA	Emily John-Martin
22262	RICH	599	IxpantepecNievesMixtec	kuíká	kuíká	kʷ i ⁵ k a ⁵	kʷ i ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	carroll2015ixpantepec
5965	RICH	599	LaBateaMixtec	kwíka	kwíka	kʷ i ⁵ k a ³	kʷ i ⁵ k a ³	⁵.³	kʷikaʔ	NA	A?	NA	oxnard2020
3783	RICH	599	MagdalenaPenascoMixtec	kúká	kúká	k u ⁵ k a ⁵	k u ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	hollenbach2017diccionario
19645	RICH	599	PiedraAzulMixtec	kuíjka	kuíjka	kʷ i ⁵ h k a ³	kʷ i ⁵ h k a ³	⁵.³	kʷikaʔ	NA	A?	NA	oxnard2020
21527	RICH	599	SanAndresYutatioMixtec	kuíká	kuíká	kʷ i ⁵ k a ⁵	kʷ i ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	williams2017diccionario
15474	RICH	599	SanEstebanAtatlahucaMixtec	cúcá	cúcá	k u ⁵ k a ⁵	k u ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	alexander1980gramatica
17827	RICH	599	SanJeronimoProgresoMixtec	kwiká	kwiká	kʷ i ¹ k a ⁵	kʷ i ¹ k a ⁵	¹.⁵	kʷikaʔ	NA	A?	NA	shields1988syntactic
7353	RICH	599	SanJuanColoradoMixtec	cúcá	cúcá	k u ⁵ k a ⁵	k u ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	stark1986diccionario
17248	RICH	599	SanMarcoslaFlorMixtec	kuíka	kuíka	kʷ i ⁵ k a ³	kʷ i ⁵ k a ³	⁵.³	kʷikaʔ	NA	A?	NA	oxnard2020
19718	RICH	599	SanMartinDuraznosMixtec	kuíká	kuíká	kʷ i ⁵ k a ⁵	kʷ i ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	hernandez2020san-martin
19722	RICH	599	SanSebastianMonteMixtec	kuíká	kuíká	kʷ i ⁵ k a ⁵	kʷ i ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	oxnard2020
21090	RICH	599	SantoDomingoHuendioMixtec	tèkʷīkā	kʷīkā	kʷ i ³ k a ³	kʷ i ³ k a ³	³.³	kʷikaʔ	NA	A?	NA	Becerra Roldan p.c.
14948	RICH	599	SantoTomasOcotepecMixtec	kwiká	kwiká	kʷ i ¹ k a ⁵	kʷ i ¹ k a ⁵	¹.⁵	kʷikaʔ	NA	A?	NA	alexander1988syntactic
11588	RICH	599	TepangoMixtec	vīkāh	vīkāh	β i ³ k a ³ ʔ	β i ³ k a ³ ʔ	³.³	kʷikaʔ	NA	A?	NA	hills1990syntactic
8225	RICH	599	TlahuapaMixtec	kwíká	kwíká	kʷ i ⁵ k a ⁵	kʷ i ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	reyes-basurto2020tlahuapa
20725	RICH	599	XochapaMixtec	kuíká	kuíká	kʷ i ⁵ k a ⁵	kʷ i ⁵ k a ⁵	⁵.⁵	kʷikaʔ	NA	A?	NA	stark2013diccionario
21331	RICH	599	YoloxochitlMixtec	bi⁴ka³	bi⁴ka³	β i ⁵ k a ³	β i ⁵ k a ³	⁵.³	kʷikaʔ	NA	A?	NA	amith2020yoloxochitl
16398	RICH	599	YucunaniMixtec	kuíka	kuíka	kʷ i ⁵ k a ³	kʷ i ⁵ k a ³	⁵.³	kʷikaʔ	NA	A?	NA	salazar2020yucunani
13810	HALF	314	AlacatlatzalaMixtec	sava	sava	s a ³ β a ³	s a ³ β a ³	³.³	saᴴwaᴴ	HH	A1	NA	zylstra2012gramatica
6184	HOUSE	363	AlacatlatzalaMixtec	ve'e	ve'e	β e ³ ʔ e ³	β e ³ ʔ e ³	³.³	weᴴʔjiᴴ	HH	A1	NA	zylstra2012gramatica
223	LIGHTNING	388	AlacatlatzalaMixtec	taxa	taxa	t a ³ ʃ a ³	t a ³ ʃ a ³	³.³	taᴴtʃaᴴ	HH	A1	NA	zylstra2012gramatica
